season,position,total_tries,total_player_games,tpg
2021,2RF,177,804,0.22014925373134328
2021,CE,251,804,0.31218905472636815
2021,FB,198,402,0.4925373134328358
2021,FE,88,402,0.21890547263681592
2021,HB,94,402,0.23383084577114427
2021,HK,55,402,0.13681592039800994
2021,IC,154,1607,0.09583074051026758
2021,LK,36,402,0.08955223880597014
2021,PR,64,804,0.07960199004975124
2021,WG,496,804,0.6169154228855721
2022,2RF,193,800,0.24125
2022,CE,252,800,0.315
2022,FB,142,400,0.355
2022,FE,110,400,0.275
2022,HB,76,400,0.19
2022,HK,64,400,0.16
2022,IC,105,1598,0.06570713391739674
2022,LK,36,400,0.09
2022,PR,58,800,0.0725
2022,WG,484,800,0.605
2023,2RF,179,848,0.21108490566037735
2023,CE,284,848,0.33490566037735847
2023,FB,185,424,0.4363207547169811
2023,FE,109,424,0.25707547169811323
2023,HB,92,424,0.2169811320754717
2023,HK,62,424,0.14622641509433962
2023,IC,117,1696,0.06898584905660378
2023,LK,43,424,0.10141509433962265
2023,PR,67,848,0.07900943396226415
2023,WG,525,848,0.6191037735849056
2024,2RF,198,852,0.2323943661971831
2024,CE,273,852,0.3204225352112676
2024,FB,203,426,0.4765258215962441
2024,FE,112,426,0.26291079812206575
2024,HB,96,426,0.22535211267605634
2024,HK,64,426,0.15023474178403756
2024,IC,124,1708,0.07259953161592506
2024,LK,52,426,0.12206572769953052
2024,PR,72,852,0.08450704225352113
2024,WG,543,852,0.6373239436619719
2025,2RF,18,100,0.18
2025,CE,39,100,0.39
2025,FB,13,50,0.26
2025,FE,13,50,0.26
2025,HB,9,50,0.18
2025,HK,10,50,0.2
2025,IC,18,200,0.09
2025,LK,6,50,0.12
2025,PR,7,100,0.07
2025,WG,73,100,0.73
