player_name,team,opponent,round,season,position,mins_played,tries,points,all_runs,all_run_metres,post_contact_metres,kick_return_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_speed,dummy_half_runs,dummy_half_run_metres,offloads,passes,receipts,passes_to_run_ratio,tackle_efficiency,tackles_made,missed_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,errors,handling_errors,penalties,ruck_infringements,inside_10_metres,sin_bins,send_offs,stint_one,stint_two,source_file,last_updated,data_complete
Charnze Nicoll-Klokstad,Warriors,Roosters,1,2026,Fullback,80:00,1,4,17,144,37,14,1,0,0,0,7,3,0,4.19s,0,0,0,10,29,0.59,77.78,7,2,0,2,0,0,0,0,0,1,1,0,0,0,0,0,80:00,-,see prior STATUS.md entries,2026-06-21,True
Dallin Watene-Zelezniak,Warriors,Roosters,1,2026,Winger,80:00,0,0,11,79,36,5,0,0,0,0,5,0,0,4.13s,1,10,0,2,13,0.18,66.67,4,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,80:00,-,see prior STATUS.md entries,2026-06-21,True
Ali Leiataua,Warriors,Roosters,1,2026,Centre,79:00,0,0,8,92,37,0,0,0,0,0,1,0,0,3.49s,0,0,0,5,9,0.63,76.92,10,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,79:03,-,see prior STATUS.md entries,2026-06-21,True
Adam Pompey,Warriors,Roosters,1,2026,Centre,80:00,1,4,14,144,41,0,0,1,0,0,5,0,0,4.09s,0,0,2,4,13,0.29,61.11,11,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,80:00,-,see prior STATUS.md entries,2026-06-21,True
Roger Tuivasa-Sheck,Warriors,Roosters,1,2026,Winger,80:00,0,0,16,167,65,24,2,1,2,0,0,0,0,4.45s,0,0,1,11,29,0.69,75.0,9,3,0,0,1,31,0,0,1,1,1,0,0,0,0,0,80:00,-,see prior STATUS.md entries,2026-06-21,True
Chanel Harris-Tavita,Warriors,Roosters,1,2026,Five-Eighth,80:00,2,8,6,57,17,0,1,2,1,0,1,0,0,4.65s,0,0,0,22,32,3.67,66.67,14,4,0,0,5,142,0,1,0,0,0,0,0,1,0,0,80:00,-,see prior STATUS.md entries,2026-06-21,True
Tanah Boyd,Warriors,Roosters,1,2026,Halfback,80:00,1,18,11,90,3,0,1,2,2,0,2,0,0,3.51s,0,0,0,43,59,3.91,86.96,20,3,0,0,12,354,0,6,0,0,0,0,0,0,0,0,80:00,-,see prior STATUS.md entries,2026-06-21,True
James Fisher-Harris,Warriors,Roosters,1,2026,Prop,50:00,0,0,20,157,61,13,0,0,0,0,3,19,0,3.86s,0,0,5,3,23,0.15,90.0,18,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,25:58,23:57,see prior STATUS.md entries,2026-06-21,True
Wayde Egan,Warriors,Roosters,1,2026,Hooker,61:00,0,0,8,68,27,0,0,0,0,0,0,0,0,4.46s,8,68,1,98,105,12.25,92.31,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53:27,07:31,see prior STATUS.md entries,2026-06-21,True
Jackson Ford,Warriors,Roosters,1,2026,Prop,70:00,0,0,22,218,112,11,0,0,0,0,2,21,0,3.7s,0,0,0,2,24,0.09,80.0,28,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,70:08,-,see prior STATUS.md entries,2026-06-21,True
Kurt Capewell,Warriors,Roosters,1,2026,2nd Row,80:00,1,4,11,98,39,0,1,0,1,0,1,10,0,4.24s,0,0,2,2,14,0.18,73.53,25,5,0,1,0,0,0,0,0,0,0,2,2,0,0,0,80:00,-,see prior STATUS.md entries,2026-06-21,True
Jacob Laban,Warriors,Roosters,1,2026,2nd Row,46:00,0,0,6,39,10,0,0,0,0,0,0,6,0,3.03s,0,0,1,2,8,0.33,73.91,17,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,45:14,00:57,see prior STATUS.md entries,2026-06-21,True
Erin Clark,Warriors,Roosters,1,2026,Lock,53:00,0,0,17,128,48,0,0,0,0,0,1,15,0,3.37s,0,0,2,12,27,0.71,91.3,21,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,25:57,26:32,see prior STATUS.md entries,2026-06-21,True
Sam Healey,Warriors,Roosters,1,2026,Interchange,19:00,0,0,3,32,7,1,1,0,0,0,0,1,0,4.12s,1,7,1,21,25,7.0,90.0,9,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,19:00,-,see prior STATUS.md entries,2026-06-21,True
Demitric Vaimauga,Warriors,Roosters,1,2026,Interchange,27:00,0,0,6,52,18,0,0,0,0,0,0,5,0,3.58s,0,0,0,4,9,0.67,84.62,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27:31,-,see prior STATUS.md entries,2026-06-21,True
Leka Halasima,Warriors,Roosters,1,2026,Interchange,35:00,1,4,6,21,11,0,0,0,0,0,3,6,0,4.28s,0,0,1,0,7,,80.0,8,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,35:00,-,see prior STATUS.md entries,2026-06-21,True
Tanner Stowers-Smith,Warriors,Roosters,1,2026,Interchange,40:00,0,0,14,134,56,35,0,0,0,0,1,11,0,3.48s,0,0,0,0,14,,66.67,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30:05,09:52,see prior STATUS.md entries,2026-06-21,True
Taine Tuaupiki,Warriors,Roosters,1,2026,Reserve,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,see prior STATUS.md entries,2026-06-21,True
Morgan Gannon,Warriors,Roosters,1,2026,Reserve,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,see prior STATUS.md entries,2026-06-21,True
James Tedesco,Roosters,Warriors,1,2026,Fullback,80:00,1,4,19,186,39,0,1,0,1,0,11,0,0,3.69s,0,0,3,16,33,0.84,40.0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80:00,-,see prior STATUS.md entries,2026-06-21,True
Daniel Tupou,Roosters,Warriors,1,2026,Winger,80:00,0,0,15,168,60,57,0,0,0,0,3,0,0,3s,0,0,2,1,18,0.07,50.0,1,1,0,2,0,0,0,0,0,2,2,0,0,0,0,0,80:00,-,see prior STATUS.md entries,2026-06-21,True
Billy Smith,Roosters,Warriors,1,2026,Centre,80:00,1,4,9,112,23,0,2,0,1,0,6,0,0,3.22s,1,7,0,6,14,0.67,66.67,12,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80:00,-,see prior STATUS.md entries,2026-06-21,True
Mark Nawaqanitawase,Roosters,Warriors,1,2026,Winger,80:00,0,0,14,190,58,30,2,0,0,0,10,0,0,4.65s,0,0,0,8,21,0.57,33.33,2,3,0,2,1,10,0,0,0,1,1,1,0,0,0,0,80:00,-,see prior STATUS.md entries,2026-06-21,True
Daly Cherry-Evans,Roosters,Warriors,1,2026,Five-Eighth,80:00,0,0,9,58,5,0,0,1,0,0,1,1,0,5.24s,0,0,1,39,50,4.33,72.73,16,1,0,0,4,129,0,2,0,3,2,0,0,0,0,0,80:00,-,see prior STATUS.md entries,2026-06-21,True
Sam Walker,Roosters,Warriors,1,2026,Halfback,80:00,0,6,9,77,15,0,0,1,0,0,2,0,0,3.87s,2,17,0,44,58,4.89,66.67,12,5,0,0,11,123,3,3,5,1,1,3,0,0,0,0,80:00,-,see prior STATUS.md entries,2026-06-21,True
Naufahu Whyte,Roosters,Warriors,1,2026,Prop,59:00,0,0,17,191,81,39,0,0,0,0,2,14,0,3.4s,0,0,0,0,17,,92.86,26,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,28:34,30:01,see prior STATUS.md entries,2026-06-21,True
Benaiah Ioelu,Roosters,Warriors,1,2026,Hooker,49:00,0,0,3,20,2,0,1,0,0,0,1,3,0,4.94s,0,0,0,45,48,15.0,88.37,38,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,48:59,-,see prior STATUS.md entries,2026-06-21,True
Lindsay Collins,Roosters,Warriors,1,2026,Prop,61:00,0,0,5,49,24,0,0,0,0,0,1,5,0,2.81s,0,0,0,0,5,,91.67,44,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,48:57,12:32,see prior STATUS.md entries,2026-06-21,True
Angus Crichton,Roosters,Warriors,1,2026,2nd Row,80:00,1,4,9,90,31,0,0,0,0,0,0,8,0,3.41s,0,0,0,1,10,0.11,96.97,32,1,0,0,0,0,0,0,0,1,1,3,0,0,0,0,80:00,-,see prior STATUS.md entries,2026-06-21,True
Nat Butcher,Roosters,Warriors,1,2026,2nd Row,80:00,0,0,9,65,17,0,0,0,0,0,0,9,0,3.23s,0,0,1,0,9,,93.44,57,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,80:00,-,see prior STATUS.md entries,2026-06-21,True
Blake Steep,Roosters,Warriors,1,2026,Lock,30:00,0,0,2,9,3,0,0,0,0,0,0,2,0,4.04s,0,0,1,2,4,1.0,95.65,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28:35,01:02,see prior STATUS.md entries,2026-06-21,True
Connor Watson,Roosters,Warriors,1,2026,Interchange,31:00,0,0,2,17,6,0,0,0,0,0,0,0,0,3.28s,2,17,1,37,40,18.5,85.71,12,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,31:00,-,see prior STATUS.md entries,2026-06-21,True
Siua Wong,Roosters,Warriors,1,2026,Interchange,38:00,0,0,10,90,36,10,0,0,0,0,2,9,0,3.7s,0,0,2,1,11,0.1,100.0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38:55,-,see prior STATUS.md entries,2026-06-21,True
Egan Butcher,Roosters,Warriors,1,2026,Interchange,38:00,0,0,7,77,26,42,0,0,0,0,2,4,0,3.57s,0,0,0,3,9,0.43,88.46,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38:53,-,see prior STATUS.md entries,2026-06-21,True
Cody Ramsey,Roosters,Warriors,1,2026,Reserve,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,see prior STATUS.md entries,2026-06-21,True
