player_name,team,opponent,round,season,position,mins_played,tries,try_minutes,points,all_runs,all_run_metres,post_contact_metres,kick_return_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_speed,dummy_half_runs,dummy_half_run_metres,offloads,passes,receipts,passes_to_run_ratio,tackle_efficiency,tackles_made,missed_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,errors,handling_errors,penalties,ruck_infringements,inside_10_metres,sin_bins,send_offs,stint_one,stint_two
Trai Fuller,Dolphins,Sharks,19,2026,Fullback,80:00,0,,0,23,205,49,92,0,0,0,0,10,0,0,3.38s,1,12,1,9,30,0.39,85.71,12,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,80:00,-
Jamayne Isaako,Dolphins,Sharks,19,2026,Winger,80:00,0,,0,16,166,47,11,1,0,0,0,4,0,0,3.01s,0,0,2,2,20,0.13,70.0,7,1,0,1,0,0,0,0,0,5,3,0,0,0,0,0,80:00,-
Jake Averillo,Dolphins,Sharks,19,2026,Centre,80:00,0,,0,8,54,13,0,0,1,0,0,0,0,0,3.95s,1,6,1,8,15,1.0,86.67,13,2,0,0,1,4,0,0,1,0,0,1,0,0,0,0,80:00,-
Herbie Farnworth,Dolphins,Sharks,19,2026,Centre,80:00,0,,0,11,118,37,0,0,0,0,0,2,1,0,4.12s,0,0,1,10,20,0.91,88.89,16,1,0,0,0,0,0,0,0,4,3,0,0,0,0,0,80:00,-
Tevita Naufahu,Dolphins,Sharks,19,2026,Winger,80:00,0,,0,19,186,58,20,0,0,0,0,10,2,0,3.1s,0,0,1,1,20,0.05,60.0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80:00,-
Kodi Nikorima,Dolphins,Sharks,19,2026,Five-Eighth,80:00,0,,0,5,34,7,0,0,0,0,0,0,0,0,4.08s,1,8,0,34,36,6.8,83.87,26,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,80:00,-
Bradley Schneider,Dolphins,Sharks,19,2026,Halfback,80:00,0,,0,4,29,8,0,0,0,0,0,0,1,0,2.76s,0,0,0,36,52,9.0,82.35,28,2,0,0,13,323,0,6,1,0,0,0,1,0,0,0,80:00,-
Felise Kaufusi,Dolphins,Sharks,19,2026,Interchange,25:00,0,,0,2,14,4,0,0,0,0,0,2,2,0,3.88s,0,0,0,0,3,,100.0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25:26,-
Jeremy Marshall-King,Dolphins,Sharks,19,2026,Hooker,67:00,0,,0,3,23,3,0,0,0,0,0,0,0,0,4.36s,3,23,0,72,74,24.0,88.64,39,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,58:33,08:08
Francis Molo,Dolphins,Sharks,19,2026,Prop,45:00,0,,0,8,68,17,16,1,0,0,0,0,7,0,3.27s,0,0,0,1,8,0.13,85.29,29,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,24:01,21:28
