player_name,team,opponent,position,jersey_number,round,season
Isaiah Iongi,Eels,,Fullback,1,21,2026
Dylan Edwards,Panthers,,Fullback,1,21,2026
Brian Kelly,Eels,,Winger,2,21,2026
Thomas Jenkins,Panthers,,Winger,2,21,2026
Jordan Samrani,Eels,,Centre,3,21,2026
Paul Alamoti,Panthers,,Centre,3,21,2026
Araz Nanva,Eels,,Centre,4,21,2026
Casey McLean,Panthers,,Centre,4,21,2026
Josh Addo-Carr,Eels,,Winger,5,21,2026
Brian To'o,Panthers,,Winger,5,21,2026
Ronald Volkman,Eels,,Five-Eighth,6,21,2026
Blaize Talagi,Panthers,,Five-Eighth,6,21,2026
Mitchell Moses,Eels,,Halfback,7,21,2026
Nathan Cleary,Panthers,,Halfback,7,21,2026
Sam Tuivaiti,Eels,,Prop,8,21,2026
Moses Leota,Panthers,,Prop,8,21,2026
Tallyn Da Silva,Eels,,Hooker,9,21,2026
Freddy Lussick,Panthers,,Hooker,9,21,2026
Jack Williams,Eels,,Prop,10,21,2026
Lindsay Smith,Panthers,,Prop,10,21,2026
Kelma Tuilagi,Eels,,2nd Row,11,21,2026
Isaiah Papali'i,Panthers,,2nd Row,11,21,2026
Kitione Kautoga,Eels,,2nd Row,12,21,2026
Liam Martin,Panthers,,2nd Row,12,21,2026
Jack De Belin,Eels,,Lock,13,21,2026
Isaah Yeo,Panthers,,Lock,13,21,2026
Dylan Walker,Eels,,Interchange,14,21,2026
Billy Scott,Panthers,,Interchange,14,21,2026
Luca Moretti,Eels,,Interchange,15,21,2026
Scott Sorensen,Panthers,,Interchange,15,21,2026
Teancum Brown,Eels,,Interchange,16,21,2026
Liam Henry,Panthers,,Interchange,16,21,2026
Harrison Edwards,Eels,,Interchange,17,21,2026
Billy Phillips,Panthers,,Interchange,17,21,2026
Joash Papalii,Eels,,Interchange,18,21,2026
Izack Tago,Panthers,,Interchange,18,21,2026
Toni Mataele,Eels,,Interchange,19,21,2026
Jack Cole,Panthers,,Interchange,19,21,2026
Jonah Pezet,Eels,,Reserve,20,21,2026
Jaxen Edgar,Panthers,,Reserve,20,21,2026
Ryley Smith,Eels,,Reserve,21,21,2026
Sione Fonua,Panthers,,Reserve,21,21,2026
Will Penisini,Eels,,Reserve,22,21,2026
Kalani Leuluai-Going,Panthers,,Reserve,22,21,2026
Kalyn Ponga,Knights,,Fullback,1,21,2026
James Tedesco,Roosters,,Fullback,1,21,2026
Dominic Young,Knights,,Winger,2,21,2026
Daniel Tupou,Roosters,,Winger,2,21,2026
Fletcher Hunt,Knights,,Centre,3,21,2026
Billy Smith,Roosters,,Centre,3,21,2026
Bradman Best,Knights,,Centre,4,21,2026
Robert Toia,Roosters,,Centre,4,21,2026
Greg Marzhew,Knights,,Winger,5,21,2026
Mark Nawaqanitawase,Roosters,,Winger,5,21,2026
Fletcher Sharpe,Knights,,Five-Eighth,6,21,2026
Daly Cherry-Evans,Roosters,,Five-Eighth,6,21,2026
Dylan Brown,Knights,,Halfback,7,21,2026
Sam Walker,Roosters,,Halfback,7,21,2026
Tyson Frizell,Knights,,Prop,8,21,2026
Naufahu Whyte,Roosters,,Prop,8,21,2026
Phoenix Crossland,Knights,,Hooker,9,21,2026
Reece Robson,Roosters,,Hooker,9,21,2026
Trey Mooney,Knights,,Prop,10,21,2026
Spencer Leniu,Roosters,,Prop,10,21,2026
Dylan Lucas,Knights,,2nd Row,11,21,2026
Nat Butcher,Roosters,,2nd Row,11,21,2026
Francis Manuleleua,Knights,,2nd Row,12,21,2026
Siua Wong,Roosters,,2nd Row,12,21,2026
Mat Croker,Knights,,Lock,13,21,2026
Victor Radley,Roosters,,Lock,13,21,2026
Sandon Smith,Knights,,Interchange,14,21,2026
Hugo Savala,Roosters,,Interchange,14,21,2026
Cody Hopwood,Knights,,Interchange,15,21,2026
Salesi Foketi,Roosters,,Interchange,15,21,2026
Lachlan Crouch,Knights,,Interchange,16,21,2026
Egan Butcher,Roosters,,Interchange,16,21,2026
Thomas Cant,Knights,,Interchange,17,21,2026
Connor Watson,Roosters,,Interchange,17,21,2026
Harrison Graham,Knights,,Interchange,18,21,2026
Cody Ramsey,Roosters,,Interchange,18,21,2026
Brodie Jones,Knights,,Interchange,19,21,2026
Taylor Losalu,Roosters,,Interchange,19,21,2026
Kyle McCarthy,Knights,,Reserve,20,21,2026
Benaiah Ioelu,Roosters,,Reserve,20,21,2026
Elijah Salesa-Leaumoana,Knights,,Reserve,21,21,2026
Tommy Talau,Roosters,,Reserve,21,21,2026
Connor Votano,Knights,,Reserve,22,21,2026
Toby Rodwell,Roosters,,Reserve,22,21,2026
Matthew Dufty,Rabbitohs,,Fullback,1,21,2026
Sualauvi Faalogo,Storm,,Fullback,1,21,2026
Alex Johnston,Rabbitohs,,Winger,2,21,2026
Siulagi Tuimalatu-Brown,Storm,,Winger,2,21,2026
Latrell Siegwalt,Rabbitohs,,Centre,3,21,2026
Jack Howarth,Storm,,Centre,3,21,2026
Jack Wighton,Rabbitohs,,Centre,4,21,2026
Nick Meaney,Storm,,Centre,4,21,2026
Campbell Graham,Rabbitohs,,Winger,5,21,2026
Moses Leo,Storm,,Winger,5,21,2026
Cody Walker,Rabbitohs,,Five-Eighth,6,21,2026
Tyran Wishart,Storm,,Five-Eighth,6,21,2026
Ashton Ward,Rabbitohs,,Halfback,7,21,2026
Jahrome Hughes,Storm,,Halfback,7,21,2026
Tevita Tatola,Rabbitohs,,Prop,8,21,2026
Stefano Utoikamanu,Storm,,Prop,8,21,2026
Brandon Smith,Rabbitohs,,Hooker,9,21,2026
Harry Grant,Storm,,Hooker,9,21,2026
Keaon Koloamatangi,Rabbitohs,,Prop,10,21,2026
Josh King,Storm,,Prop,10,21,2026
David Fifita,Rabbitohs,,2nd Row,11,21,2026
Cooper Clarke,Storm,,2nd Row,11,21,2026
Euan Aitken,Rabbitohs,,2nd Row,12,21,2026
Oryn Keeley,Storm,,2nd Row,12,21,2026
Lachlan Hubner,Rabbitohs,,Lock,13,21,2026
Trent Loiero,Storm,,Lock,13,21,2026
Jayden Sullivan,Rabbitohs,,Interchange,14,21,2026
Trent Toelau,Storm,,Interchange,14,21,2026
Jye Gray,Rabbitohs,,Interchange,15,21,2026
Alec MacDonald,Storm,,Interchange,15,21,2026
Liam Le Blanc,Rabbitohs,,Interchange,16,21,2026
Angus Hinchey,Storm,,Interchange,16,21,2026
Jamie Humphreys,Rabbitohs,,Interchange,17,21,2026
Jack Hetherington,Storm,,Interchange,17,21,2026
Bronson Garlick,Rabbitohs,,Interchange,18,21,2026
Stanley Huen,Storm,,Interchange,18,21,2026
John Radel,Rabbitohs,,Interchange,19,21,2026
Manaia Waitere,Storm,,Interchange,19,21,2026
Thomas Fletcher,Rabbitohs,,Reserve,20,21,2026
Davvy Moale,Storm,,Reserve,20,21,2026
Edward Kosi,Rabbitohs,,Reserve,21,21,2026
Hugo Peel,Storm,,Reserve,21,21,2026
Peter Mamouzelos,Rabbitohs,,Reserve,22,21,2026
